Value,Disaggregation combinations using this value,Number of indicators
African Development Bank Group Annual Report 2019,36,2
"ASPIRE: The Atlas of Social Protection - Indicators of Resilience and Equity, The World Bank. Data are based on national representative household surveys. (datatopics.worldbank.org/aspire/)",4,1
DAD-IS 21.11.2022 http://www.fao.org/dad-is/,2,1
DAD-IS 28.11.2022 http://www.fao.org/dad-is/,2,1
"Data based on the World Telecommunication/ICT Indicators Database, 2021, International Telecommunication Union (ITU)",4,1
Data gathered as a result of a survey,4,1
Data gathered from the latest version of NBSAP,3,1
EDUCATION STATISTICS ANNUAL ABSTRACT 2012 E.C. 2019/20 (http://www.moe.gov.et/storage/Books/Education%20Statistics%20Annual%20Abstract%20March%202019%20-%20September%202020.pdf); Data extracted on 01 April 2022.,9,1
Environment Live,3,1
Estimated using the Adjusted Bayesian Completion Rates estimation model using household survey data [https://osf.io/preprints/socarxiv/at368/]; Data extracted on 01 April 2022.,54,1
Ethiopia 2019 Demographic and Health Survey,5,1
Ethiopia 2019 PMA Cross Sectional,9,1
Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value based on 25-49 unweighted observations in sample.; Data extracted on 01 April 2022.,12,1
Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,216,1
Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educatiol attainment for age 5 and above.; Data extracted on 01 April 2022.,330,1
Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value based on 25-49 unweighted observations in sample.; Data extracted on 01 April 2022.,8,1
Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above. Under Coverage (Students or individuals): Value suppressed (less than 25 unweighted observations in sample).; Data extracted on 01 April 2022.,136,1
Ethiopia DHS 2016. The survey collected data on school attendance for age 5-24 and educational attainment for age 5 and above.; Data extracted on 01 April 2022.,486,1
"Ethiopia Mini Demographic and Health Survey 2019: Key Indicators. Rockville, Maryland, USA: EPHI and ICF.",12,1
FAO calculation based on WB national account data,2,1
FAO estimate based on FAOSTAT data from 2019,3,1
"FAO, Global Forest Resources Assessment and FAOSTAT",1,1
"FAO, Global Forest Resources Assessment",5,2
FAO-WIEWS (http://www.fao.org/wiews),4,1
Food Price Monitoring and Analysis (FPMA) online database: https://fpma.apps.fao.org/giews/food-prices/tool/public/#/dataset/domestic.,3,1
https://absch.cbd.int/countries,1,1
"https://www.cbd.int/abs/nagoya-protocol/signatories/default.shtml, Access and Benefit-sharing Clearing-house https://absch.cbd.int/, http://www.fao.org/plant-treaty/countries/membership/en/,  The Online Reporting System on Compliance of the International ",1,1
ICAO,2,1
"IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",3,1
IFC 2021 Annual Report Volume 2,40,2
IHR National Self-Assessment and reports received and available at WHO e-SPAR database (https://extranet.who.int/e-spar/ )	 WHO Global Health Observatory (https://www.who.int/data/gho/data/themes/international-health-regulations-(2005)-monitoring-framework,16,1
IHR National Self-Assessment and reports received and registered at WHO e-SPAR database (https://extranet.who.int/e-spar/ ).,41,1
IMF Annual Report 2021,40,2
"International Bank for Reconstruction and Development Management’s Discussion & Analysis and Financial Statements June 30, 2021",40,2
"International Monetary Fund, Balance of Payments Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",1,1
"International Monetary Fund, Financial Soundness Indicators.",1,1
"International Monetary Fund, Government Finance Statistics Yearbook and data files, and World Bank and OECD GDP estimates.",2,1
"International Monetary Fund, International Financial Statistics and Balance of Payments databases, World Bank, International Debt Statistics, and World Bank and OECD GDP estimates.",2,1
"International Monetary Fund, International Financial Statistics and data files.",4,1
"International Monetary Fund, International Financial Statistics, supplemented by World Bank staff estimates.",1,1
ITPGRFA Secretariat ,4,1
ITU estimate.,6,1
Ministry of Communications and Information Technology,6,1
NA,7,2
"National Labor Force Survey. Reference period for participation in education and training: unknown, likely 1 month prior to the interview. Data extracted on 01 April 2022.",1,1
"No data on certified forest area in the FSC and PEFC records, value is therefore assumed to be zero",1,1
"Poverty and Inequality Portal, World Bank",8,1
Report of the Economic and Social Council on its 2020 Session (A/75/3/Rev.1),8,2
Report of the Security Council for 2018 (A/73/2),8,2
Sixth National Learning Assessment.  Grade 4 (English). MPL: Proficient. The minimum proficiency level alignment of this assessment is pending and subject to harmonization.,2,1
Sixth National Learning Assessment.  Grade 4. MPL: Proficient. The minimum proficiency level alignment of this assessment is pending and subject to harmonization.,2,1
Sixth National Learning Assessment. Grade 8 (English). MPL: Proficient. The minimum proficiency level alignment of this assessment is pending and subject to harmonization.,2,1
Sixth National Learning Assessment. Grade 8. MPL: Proficient. The minimum proficiency level alignment of this assessment is pending and subject to harmonization.,2,1
Source: ILO estimates based on country data compled through the ILO Social Security Inquiry (SSI),17,1
"Source = ILO modelled estimates, November 2021, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",9,1
"Source: Joint Child Malnutrition Estimates (2021 Edition), United Nations Children's Fund (UNICEF), World Health Organisation (WHO) and the World Bank Group.",37,1
the International Transport Forum at the OECD (ITF-OECD),5,1
UN General Assembly website http://www.un.org/en/member-states/index.html,4,2
UNESCO Institute for Statistics.  Data extracted on 01 April 2022.,20,2
"UNIDO National Accounts Database. Available at https://stat.unido.org. IEA (2021), Greenhouse gas emissions from energy. https://www.iea.org/statistics",1,1
"World Bank, International Debt Statistics.",1,1
"World Bank national accounts data, and OECD National Accounts data files.",6,1
World Environment Situation Room,1,1
"World Trade Organization, and World Bank GDP estimates.",1,1
