Year,COMMENT_OBS,Composite breakdown,Value
2000,Year-end value for installed capacity (watts) and mid-year for population ,,6.125
2001,Year-end value for installed capacity (watts) and mid-year for population ,,7.008
2002,Year-end value for installed capacity (watts) and mid-year for population ,,6.81
2003,Year-end value for installed capacity (watts) and mid-year for population ,,7.089
2004,Year-end value for installed capacity (watts) and mid-year for population ,,9.721
2005,Year-end value for installed capacity (watts) and mid-year for population ,,9.452
2006,Year-end value for installed capacity (watts) and mid-year for population ,,9.194
2007,Year-end value for installed capacity (watts) and mid-year for population ,,8.945
2008,Year-end value for installed capacity (watts) and mid-year for population ,,8.703
2009,Year-end value for installed capacity (watts) and mid-year for population ,,16.914
2010,Year-end value for installed capacity (watts) and mid-year for population ,,21.699
2011,Year-end value for installed capacity (watts) and mid-year for population ,,23.076
2012,Year-end value for installed capacity (watts) and mid-year for population ,,22.441
2013,Year-end value for installed capacity (watts) and mid-year for population ,,23.319
2014,Year-end value for installed capacity (watts) and mid-year for population ,,22.734
2015,Year-end value for installed capacity (watts) and mid-year for population ,,25.972
2016,Year-end value for installed capacity (watts) and mid-year for population ,,25.569
2017,Year-end value for installed capacity (watts) and mid-year for population ,,41.035
2018,Year-end value for installed capacity (watts) and mid-year for population ,,40.75
2019,Year-end value for installed capacity (watts) and mid-year for population ,,39.713
2020,Year-end value for installed capacity (watts) and mid-year for population ,,40.994
2000,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,0.299
2001,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,0.29
2002,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,0.282
2003,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,0.274
2004,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,0.267
2005,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,0.259
2006,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,0.252
2007,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,0.245
2008,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,0.239
2009,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,0.232
2010,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,0.226
2011,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,0.22
2012,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,0.214
2013,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,0.744
2014,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,0.724
2015,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,1.18
2016,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,1.4
2017,Year-end value for installed capacity (watts) and mid-year for population ,Type of renewable technology: Bioenergy,1.927
