Year,UNIT_MULT,NATURE,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Unit of measure,Unit multiplier,Nature of data points,Observation-level footnotes,Source details,Value
2000,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",Forest area as a proportion of total land area [15.1.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",16.41767
2010,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",Forest area as a proportion of total land area [15.1.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",15.77083
2015,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",Forest area as a proportion of total land area [15.1.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",15.44784
2016,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",Forest area as a proportion of total land area [15.1.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",15.3829
2017,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",Forest area as a proportion of total land area [15.1.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",15.31829
2018,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",Forest area as a proportion of total land area [15.1.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",15.25349
2019,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",Forest area as a proportion of total land area [15.1.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",15.18881
2020,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",Forest area as a proportion of total land area [15.1.1],Percent,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment and FAOSTAT",15.12412
2000,3,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Forest area (hectares) [15.1.1],Hectares,Thousands,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",18528.5
2010,3,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Forest area (hectares) [15.1.1],Hectares,Thousands,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",17798.5
2015,3,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Forest area (hectares) [15.1.1],Hectares,Thousands,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",17433.5
2016,3,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Forest area (hectares) [15.1.1],Hectares,Thousands,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",17360.5
2017,3,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Forest area (hectares) [15.1.1],Hectares,Thousands,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",17287.5
2018,3,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Forest area (hectares) [15.1.1],Hectares,Thousands,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",17214.5
2019,3,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Forest area (hectares) [15.1.1],Hectares,Thousands,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",17141.5
2020,3,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Forest area (hectares) [15.1.1],Hectares,Thousands,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",17068.5
2000,3,E,,FAO Estimate based on data from FAOSTAT for year 2010,Land area (hectares) [15.1.1],Hectares,Thousands,Estimated,,FAO estimate based on FAOSTAT data from 2019,112857.0951
2010,3,E,,Data from FAOSTAT extracted 20220110,Land area (hectares) [15.1.1],Hectares,Thousands,Estimated,,FAO estimate based on FAOSTAT data from 2019,112857.0951
2015,3,E,,Data from FAOSTAT extracted 20220110,Land area (hectares) [15.1.1],Hectares,Thousands,Estimated,,FAO estimate based on FAOSTAT data from 2019,112853.9354
2016,3,E,,Data from FAOSTAT extracted 20220110,Land area (hectares) [15.1.1],Hectares,Thousands,Estimated,,FAO estimate based on FAOSTAT data from 2019,112855.8509
2017,3,E,,Data from FAOSTAT extracted 20220110,Land area (hectares) [15.1.1],Hectares,Thousands,Estimated,,FAO estimate based on FAOSTAT data from 2019,112855.2822
2018,3,E,,Data from FAOSTAT extracted 20220110,Land area (hectares) [15.1.1],Hectares,Thousands,Estimated,,FAO estimate based on FAOSTAT data from 2019,112856.143
2019,3,E,,Data from FAOSTAT extracted 20220110,Land area (hectares) [15.1.1],Hectares,Thousands,Estimated,,FAO estimate based on FAOSTAT data from 2019,112856.143
2020,3,E,,FAO estimate based on FAOSTAT data from 2019,Land area (hectares) [15.1.1],Hectares,Thousands,Estimated,,FAO estimate based on FAOSTAT data from 2019,112856.143
