Year,Degree of urbanisation,COMMENT_OBS,Observation-level footnotes,Value
2000,,,,5
2001,,,,5
2002,,,,6
2003,,,,6
2004,,,,6
2005,,,,6
2006,,,,6
2007,,,,7
2008,,,,7
2009,,,,7
2010,,,,8
2011,,,,8
2012,,,,9
2013,,,,9
2014,,,,9
2015,,,,10
2016,,,,10
2017,,,,11
2018,,,,11
2019,,,,12
2020,,,,13
2000,Rural,Obs_Value = 0;  ,Obs_Value = 0;  ,0
2001,Rural,Obs_Value = 0;  ,Obs_Value = 0;  ,0
2002,Rural,Obs_Value = 0;  ,Obs_Value = 0;  ,0
2003,Rural,Obs_Value = 0;  ,Obs_Value = 0;  ,0
2004,Rural,Obs_Value = 0;  ,Obs_Value = 0;  ,0
2005,Rural,,Obs_Value = 0;  ,1
2006,Rural,,Obs_Value = 0;  ,1
2007,Rural,,Obs_Value = 0;  ,1
2008,Rural,,Obs_Value = 0;  ,1
2009,Rural,,Obs_Value = 0;  ,1
2010,Rural,,Obs_Value = 0;  ,2
2011,Rural,,Obs_Value = 0;  ,2
2012,Rural,,Obs_Value = 0;  ,2
2013,Rural,,Obs_Value = 0;  ,3
2014,Rural,,Obs_Value = 0;  ,3
2015,Rural,,Obs_Value = 0;  ,3
2016,Rural,,Obs_Value = 0;  ,4
2017,Rural,,Obs_Value = 0;  ,4
2018,Rural,,Obs_Value = 0;  ,4
2019,Rural,,Obs_Value = 0;  ,5
2020,Rural,,Obs_Value = 0;  ,5
2000,Urban,,,33
2001,Urban,,,35
2002,Urban,,,35
2003,Urban,,,36
2004,Urban,,,36
2005,Urban,,,36
2006,Urban,,,36
2007,Urban,,,36
2008,Urban,,,37
2009,Urban,,,37
2010,Urban,,,37
2011,Urban,,,37
2012,Urban,,,37
2013,Urban,,,38
2014,Urban,,,38
2015,Urban,,,38
2016,Urban,,,38
2017,Urban,,,38
2018,Urban,,,39
2019,Urban,,,39
2020,Urban,,,39
