Year,SDG Series,Composite breakdown,Unit of measure,Value
2006,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,-0.72684
2007,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,-1.52277
2008,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,-1.96282
2009,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,-2.06882
2010,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,-2.09606
2011,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,-1.89765
2012,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,-1.37379
2013,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,-1.07943
2014,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,-0.93971
2015,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,-0.4676
2016,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,-0.06486
2017,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,-0.06568
2018,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,0.06057
2019,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,0.21955
2020,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,0.20981
2021,Lakes and rivers permanent water area change (%) [6.6.1],,Percent,0.5328
2000,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,3475.30592
2001,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,3535.06307
2002,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,4834.36401
2003,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,6123.75124
2004,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,6456.59493
2005,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,6422.39228
2006,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,6375.71193
2007,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,6324.59411
2008,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,6296.33255
2009,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,6289.52479
2010,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,6287.77499
2011,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,6300.51779
2012,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,6334.16221
2013,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,6353.06732
2014,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,6362.04056
2015,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,6392.36095
2016,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,6418.22656
2017,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,6418.1741
2018,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,6426.28219
2019,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,6436.49261
2020,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,6435.8669
2021,Lakes and rivers permanent water area (square kilometres) [6.6.1],,Square kilometers,6456.61099
2000,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,0.00348
2001,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,0.00354
2002,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,0.00483
2003,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,0.00612
2004,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,0.00572
2005,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,0.00569
2006,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,0.00565
2007,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,0.0056
2008,Lakes and rivers permanent water area (% of total land area) [6.6.1],,Percent,0.00558
