Year,BASE_PER,NATURE,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Sex,Age,Degree of urbanisation,Base period,Nature of data points,Observation-level footnotes,Source details,Value
1995,2017,G,"Accessed September 14, 2022. Based on data from HICES. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,,2017,Global monitoring data,"Accessed September 14, 2022. Based on data from HICES. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",65.2
1999,2017,G,"Accessed September 14, 2022. Based on data from HICES. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,,2017,Global monitoring data,"Accessed September 14, 2022. Based on data from HICES. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",52.7
2004,2017,G,"Accessed September 14, 2022. Based on data from HICES. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,,2017,Global monitoring data,"Accessed September 14, 2022. Based on data from HICES. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",34.3
2010,2017,G,"Accessed September 14, 2022. Based on data from HICES. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,,2017,Global monitoring data,"Accessed September 14, 2022. Based on data from HICES. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",31.3
2015,2017,G,"Accessed September 14, 2022. Based on data from HICES. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,,2017,Global monitoring data,"Accessed September 14, 2022. Based on data from HICES. Estimated from unit-record consumption data. ","Poverty and Inequality Portal, World Bank",27.0
2010,2017,G,"Accessed September 14, 2022. Survey name: HICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,Rural,2017,Global monitoring data,"Accessed September 14, 2022. Survey name: HICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",34.90585
2015,2017,G,"Accessed September 14, 2022. Survey name: HICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,Rural,2017,Global monitoring data,"Accessed September 14, 2022. Survey name: HICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",30.71564
2010,2017,G,"Accessed September 14, 2022. Survey name: HICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,Urban,2017,Global monitoring data,"Accessed September 14, 2022. Survey name: HICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",12.90413
2015,2017,G,"Accessed September 14, 2022. Survey name: HICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,,Urban,2017,Global monitoring data,"Accessed September 14, 2022. Survey name: HICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",11.28973
2010,2017,G,"Accessed September 14, 2022. Survey name: HICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,65 years old and over,,2017,Global monitoring data,"Accessed September 14, 2022. Survey name: HICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",22.5673
2015,2017,G,"Accessed September 14, 2022. Survey name: HICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,65 years old and over,,2017,Global monitoring data,"Accessed September 14, 2022. Survey name: HICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",20.62819
2010,2017,G,"Accessed September 14, 2022. Survey name: HICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,under 15 years old,,2017,Global monitoring data,"Accessed September 14, 2022. Survey name: HICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",36.22651
2015,2017,G,"Accessed September 14, 2022. Survey name: HICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,under 15 years old,,2017,Global monitoring data,"Accessed September 14, 2022. Survey name: HICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",31.53201
2010,2017,G,"Accessed September 14, 2022. Survey name: HICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,15 to 64 years old,,2017,Global monitoring data,"Accessed September 14, 2022. Survey name: HICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",27.2438
2015,2017,G,"Accessed September 14, 2022. Survey name: HICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],,15 to 64 years old,,2017,Global monitoring data,"Accessed September 14, 2022. Survey name: HICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",23.53511
2010,2017,G,"Accessed September 14, 2022. Survey name: HICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],Female,,,2017,Global monitoring data,"Accessed September 14, 2022. Survey name: HICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",30.88158
2015,2017,G,"Accessed September 14, 2022. Survey name: HICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],Female,,,2017,Global monitoring data,"Accessed September 14, 2022. Survey name: HICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",26.36629
2010,2017,G,"Accessed September 14, 2022. Survey name: HICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],Male,,,2017,Global monitoring data,"Accessed September 14, 2022. Survey name: HICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",31.64955
2015,2017,G,"Accessed September 14, 2022. Survey name: HICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",Proportion of population below international poverty line [1.1.1],Male,,,2017,Global monitoring data,"Accessed September 14, 2022. Survey name: HICES. Uses a consumption aggregate, which is not spatially deflated.","Poverty and Inequality Portal, World Bank",27.58993
2000,,M,,"Source = ILO modelled estimates, November 2021, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",Employed population below international poverty line [1.1.1],,15 years old and over,,,Modeled,,"Source = ILO modelled estimates, November 2021, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",54.3
2001,,M,,"Source = ILO modelled estimates, November 2021, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",Employed population below international poverty line [1.1.1],,15 years old and over,,,Modeled,,"Source = ILO modelled estimates, November 2021, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",47.0
2002,,M,,"Source = ILO modelled estimates, November 2021, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",Employed population below international poverty line [1.1.1],,15 years old and over,,,Modeled,,"Source = ILO modelled estimates, November 2021, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",48.9
2003,,M,,"Source = ILO modelled estimates, November 2021, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",Employed population below international poverty line [1.1.1],,15 years old and over,,,Modeled,,"Source = ILO modelled estimates, November 2021, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",56.0
2004,,M,,"Source = ILO modelled estimates, November 2021, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",Employed population below international poverty line [1.1.1],,15 years old and over,,,Modeled,,"Source = ILO modelled estimates, November 2021, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",42.5
2005,,M,,"Source = ILO modelled estimates, November 2021, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",Employed population below international poverty line [1.1.1],,15 years old and over,,,Modeled,,"Source = ILO modelled estimates, November 2021, available in ILOSTAT (https://ilostat.ilo.org/). For the specific sources by country and the estimation methodology refer to ILOSTAT directly.",37.8
