Year,UNIT_MULT,NATURE,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Unit of measure,Unit multiplier,Nature of data points,Observation-level footnotes,Source details,Value
2000,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Above-ground biomass in forest (tonnes per hectare) [15.2.1],Tonnes per hectare,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",124.11
2010,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Above-ground biomass in forest (tonnes per hectare) [15.2.1],Tonnes per hectare,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",122.86
2015,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Above-ground biomass in forest (tonnes per hectare) [15.2.1],Tonnes per hectare,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",122.1
2016,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Above-ground biomass in forest (tonnes per hectare) [15.2.1],Tonnes per hectare,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",121.94
2017,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Above-ground biomass in forest (tonnes per hectare) [15.2.1],Tonnes per hectare,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",121.79
2018,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Above-ground biomass in forest (tonnes per hectare) [15.2.1],Tonnes per hectare,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",121.63
2019,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Above-ground biomass in forest (tonnes per hectare) [15.2.1],Tonnes per hectare,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",121.47
2020,0,C,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",Above-ground biomass in forest (tonnes per hectare) [15.2.1],Tonnes per hectare,Units,Country Data,Official country report to FAO (FRA 2020),"FAO, Global Forest Resources Assessment",121.31
2000,3,E,Obs_Value = 0;  ,"No data on certified forest area in the FSC and PEFC records, value is therefore assumed to be zero",Forest area certified under an independently verified certification scheme (hectares) [15.2.1],Hectares,Thousands,Estimated,Obs_Value = 0;  ,"No data on certified forest area in the FSC and PEFC records, value is therefore assumed to be zero",0.0
2005,3,E,Obs_Value = 0;  ,"No data on certified forest area in the FSC and PEFC records, value is therefore assumed to be zero",Forest area certified under an independently verified certification scheme (hectares) [15.2.1],Hectares,Thousands,Estimated,Obs_Value = 0;  ,"No data on certified forest area in the FSC and PEFC records, value is therefore assumed to be zero",0.0
