Year,UNIT_MULT,SDG Series,Unit of measure,Unit multiplier,COMMENT_OBS,Value
2001,0,Prevalence of undernourishment [2.1.1],Percent,Units,,47.0
2002,0,Prevalence of undernourishment [2.1.1],Percent,Units,,44.2
2003,0,Prevalence of undernourishment [2.1.1],Percent,Units,,42.6
2004,0,Prevalence of undernourishment [2.1.1],Percent,Units,,39.0
2005,0,Prevalence of undernourishment [2.1.1],Percent,Units,,37.1
2006,0,Prevalence of undernourishment [2.1.1],Percent,Units,,35.6
2007,0,Prevalence of undernourishment [2.1.1],Percent,Units,,35.0
2008,0,Prevalence of undernourishment [2.1.1],Percent,Units,,33.5
2009,0,Prevalence of undernourishment [2.1.1],Percent,Units,,28.5
2010,0,Prevalence of undernourishment [2.1.1],Percent,Units,,24.7
2011,0,Prevalence of undernourishment [2.1.1],Percent,Units,,20.9
2012,0,Prevalence of undernourishment [2.1.1],Percent,Units,,19.4
2013,0,Prevalence of undernourishment [2.1.1],Percent,Units,,17.7
2014,0,Prevalence of undernourishment [2.1.1],Percent,Units,,15.9
2015,0,Prevalence of undernourishment [2.1.1],Percent,Units,,14.8
2016,0,Prevalence of undernourishment [2.1.1],Percent,Units,,14.4
2017,0,Prevalence of undernourishment [2.1.1],Percent,Units,,15.7
2018,0,Prevalence of undernourishment [2.1.1],Percent,Units,,18.2
2019,0,Prevalence of undernourishment [2.1.1],Percent,Units,,21.9
2020,0,Prevalence of undernourishment [2.1.1],Percent,Units,Estimates are based on projected values,24.9
2001,6,Number of undernourish people [2.1.1],Number,Millions,,32.0
2002,6,Number of undernourish people [2.1.1],Number,Millions,,31.0
2003,6,Number of undernourish people [2.1.1],Number,Millions,,30.7
2004,6,Number of undernourish people [2.1.1],Number,Millions,,29.0
2005,6,Number of undernourish people [2.1.1],Number,Millions,,28.3
2006,6,Number of undernourish people [2.1.1],Number,Millions,,27.9
2007,6,Number of undernourish people [2.1.1],Number,Millions,,28.3
2008,6,Number of undernourish people [2.1.1],Number,Millions,,27.8
2009,6,Number of undernourish people [2.1.1],Number,Millions,,24.3
2010,6,Number of undernourish people [2.1.1],Number,Millions,,21.6
2011,6,Number of undernourish people [2.1.1],Number,Millions,,18.9
2012,6,Number of undernourish people [2.1.1],Number,Millions,,18.0
2013,6,Number of undernourish people [2.1.1],Number,Millions,,16.9
2014,6,Number of undernourish people [2.1.1],Number,Millions,,15.6
2015,6,Number of undernourish people [2.1.1],Number,Millions,,14.9
2016,6,Number of undernourish people [2.1.1],Number,Millions,,14.9
2017,6,Number of undernourish people [2.1.1],Number,Millions,,16.7
2018,6,Number of undernourish people [2.1.1],Number,Millions,,19.9
2019,6,Number of undernourish people [2.1.1],Number,Millions,,24.6
2020,6,Number of undernourish people [2.1.1],Number,Millions,Estimates are based on projected values,28.6
