Year,SDG Series,Value
2000,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],30
2001,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],33
2002,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],35
2003,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],38
2004,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],40
2005,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],44
2006,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],46
2007,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],50
2008,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],54
2009,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],58
2010,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],61
2011,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],65
2012,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],62
2013,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],59
2014,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],61
2015,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],63
2016,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],66
2017,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],68
2018,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],67
2019,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],68
2020,Proportion of the target population with access to 3 doses of diphtheria-tetanus-pertussis (DTP3) [3.b.1],71
2019,"Proportion of the target population with access to affordable medicines and vaccines on a sustainable basis, human papillomavirus (HPV) [3.b.1]",84
2020,"Proportion of the target population with access to affordable medicines and vaccines on a sustainable basis, human papillomavirus (HPV) [3.b.1]",76
2019,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1],41
2020,Proportion of the target population with access to measles-containing-vaccine second-dose (MCV2) [3.b.1],46
2011,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) [3.b.1],12
2012,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) [3.b.1],30
2013,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) [3.b.1],48
2014,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) [3.b.1],54
2015,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) [3.b.1],57
2016,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) [3.b.1],61
2017,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) [3.b.1],64
2018,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) [3.b.1],63
2019,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) [3.b.1],64
2020,Proportion of the target population with access to pneumococcal conjugate 3rd dose (PCV3) [3.b.1],67
