Year,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Sex,Unit of measure,Observation-level footnotes,Value
2000,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],Female,Percent,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",2.03
2001,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],Female,Percent,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",7.69
2002,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],Female,Percent,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",7.68
2003,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],Female,Percent,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",7.68
2004,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],Female,Percent,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",7.68
2005,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],Female,Percent,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",7.68
2006,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],Female,Percent,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",21.43
2007,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],Female,Percent,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",21.93
2008,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],Female,Percent,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",21.93
2009,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],Female,Percent,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",21.93
2010,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],Female,Percent,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",21.93
2011,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],Female,Percent,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",27.79
2012,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],Female,Percent,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",27.79
2013,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],Female,Percent,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",27.79
2014,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],Female,Percent,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",27.79
2015,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],Female,Percent,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",27.79
2016,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],Female,Percent,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",38.76
2017,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],Female,Percent,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",38.76
2018,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],Female,Percent,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",38.76
2019,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],Female,Percent,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",38.76
2020,Data are as at 1 January of reporting year | single or lower chambers of national parliaments.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed January 1 of given year for annual data.",Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],Female,Percent,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",38.76
2021,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time","Inter-Parliamentary Union (IPU), Parline Database",Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],Female,Percent,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",38.76
2022,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time","Inter-Parliamentary Union (IPU), Parline Database",Proportion of seats held by women in national parliaments (% of total number of seats) [5.5.1],Female,Percent,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year based on the number of seats filled in parliament at the time",41.49
2000,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",11.0
2001,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",42.0
2002,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",42.0
2003,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",42.0
2004,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",42.0
2005,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",42.0
2006,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",117.0
2007,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",116.0
2008,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",116.0
2009,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",116.0
2010,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",116.0
2011,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",152.0
2012,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",152.0
2013,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",152.0
2014,Annual data as of 1 Feb of given year.,"Inter-Parliamentary Union (IPU), the database on Women in National Parliament, accessed February 1 of given year for annual data.",Number of seats held by women in national parliaments [5.5.1],Female,Number,"Lower Chamber or Unicameral, Data valid as of 1 Jan of given year, figures correspond to the number of seats filled in parliament at the given time.",152.0
