Year,COMMENT_OBS,Value
2000,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",10.88277
2001,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",39.59559
2002,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",25.4516
2003,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",39.74364
2004,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",36.18789
2005,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",128.36069
2006,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",138.6466
2007,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",137.58285
2008,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",143.47343
2009,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",147.28272
2010,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",128.58117
2011,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",150.30354
2012,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",192.89504
2013,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",179.2049
2014,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",216.54497
2015,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",208.91866
2016,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",216.39708
2017,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",229.39178
2018,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",197.07284
2019,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",272.27576
2020,"Gross disbursements;Based on OECD, CRS databased, 2022;Constant 2020 USD million",155.08806
