Year,NATURE,Sex,Value
2007,C,,6.68707
2008,C,,6.29557
2009,C,,7.09685
2010,C,,5.19599
2011,E,,6.27363
2012,E,,24.86089
2014,C,,34.55035
2015,C,,37.16064
2020,C,,42.98112
2007,C,Female,6.45914
2008,C,Female,6.13019
2009,C,Female,6.78793
2010,C,Female,5.02005
2011,E,Female,6.07764
2012,E,Female,26.16343
2014,C,Female,33.15074
2015,C,Female,35.87642
2020,C,Female,41.34035
2007,C,Male,6.90948
2008,C,Male,6.4571
2009,C,Male,7.39897
2010,C,Male,5.36827
2011,E,Male,6.46564
2012,E,Male,23.58463
2014,C,Male,35.91901
2015,C,Male,38.41496
2020,C,Male,44.5791
