Year,COMMENT_OBS,Composite breakdown,Observation-level footnotes,Value
2000,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",1.5
2001,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",0.79
2002,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",205.46
2003,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",7.79
2004,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",0.64
2005,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",364.87
2006,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",0.42
2007,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",204.14
2008,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",0.32
2009,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",4284.37
2010,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",92.37
2011,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",109.57
2012,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",54.0
2013,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",292.84
2014,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",655.35
2015,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",300.68
2016,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",54.1
2017,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",,"Commitments by recipient country, in million USD at 2019 prices and exchange rates (using donor country deflators)",361.27
