Year,COMMENT_OBS,SDG Series,Observation-level footnotes,Value
2005,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",292.49218
2006,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",688.42681
2007,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",891.35591
2008,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",652.76408
2009,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",736.55325
2010,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",886.46966
2011,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",455.59681
2012,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",1876.83925
2013,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",933.84713
2014,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",1039.43536
2015,"Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million","Total official flows (commitments) for Aid for Trade, by recipient countries [8.a.1]","Commitments;Based on OECD, CRS databased, 2022;Constant 2020 USD million",1486.27411
