Year,UPPER_BOUND,LOWER_BOUND,Value
2000,13.5741,12.2845,13.55031
2001,13.5741,12.2845,13.55031
2002,13.5741,12.2845,13.55031
2003,13.5856,12.296,13.58556
2004,13.5856,12.296,13.58556
2005,13.6847,12.3951,13.68465
2006,13.6847,12.3951,13.68465
2007,14.2713,13.0055,14.27127
2008,14.2713,13.0055,14.27127
2009,14.2713,13.0055,14.27127
2010,14.3961,13.1303,14.39614
2011,15.956,14.6902,15.95604
2012,15.9674,14.7015,15.96735
2013,16.5874,16.5637,16.5874
2014,16.5874,16.5637,16.5874
2015,16.5874,16.5637,16.5874
2016,16.5874,16.5637,16.5874
2017,18.2164,18.2164,18.21641
2018,18.2164,18.2164,18.21641
2019,18.2164,18.2164,18.21641
2020,18.2164,18.2164,18.21641
2021,18.2164,18.2164,18.21641
