Year,NATURE,COMMENT_OBS,SOURCE_DETAIL,SDG Series,Observation-level footnotes,Source details,Value
2020,C,"Out of 74 local breeds (including extinct ones), 6 are reported with genetic material stored, out of which 5 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 21.11.2022 http://www.fao.org/dad-is/,Number of local breeds for which sufficient genetic resources are stored for reconstitution [2.5.1],"Out of 74 local breeds (including extinct ones), 6 are reported with genetic material stored, out of which 5 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 21.11.2022 http://www.fao.org/dad-is/,5
2021,E,"Out of 74 local breeds (including extinct ones), 6 are reported with genetic material stored, out of which 5 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 21.11.2022 http://www.fao.org/dad-is/,Number of local breeds for which sufficient genetic resources are stored for reconstitution [2.5.1],"Out of 74 local breeds (including extinct ones), 6 are reported with genetic material stored, out of which 5 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 21.11.2022 http://www.fao.org/dad-is/,5
2022,E,"Out of 74 local breeds (including extinct ones), 6 are reported with genetic material stored, out of which 5 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 21.11.2022 http://www.fao.org/dad-is/,Number of local breeds for which sufficient genetic resources are stored for reconstitution [2.5.1],"Out of 74 local breeds (including extinct ones), 6 are reported with genetic material stored, out of which 5 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 21.11.2022 http://www.fao.org/dad-is/,5
2020,C,"Obs_Value = 0;  Out of 25 transboundary breeds (including extinct ones), 0 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 28.11.2022 http://www.fao.org/dad-is/,Number of transboundary breeds for which sufficient genetic resources are stored for reconstitution [2.5.1],"Obs_Value = 0;  Out of 25 transboundary breeds (including extinct ones), 0 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 28.11.2022 http://www.fao.org/dad-is/,0
2021,E,"Obs_Value = 0;  Out of 25 transboundary breeds (including extinct ones), 0 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 28.11.2022 http://www.fao.org/dad-is/,Number of transboundary breeds for which sufficient genetic resources are stored for reconstitution [2.5.1],"Obs_Value = 0;  Out of 25 transboundary breeds (including extinct ones), 0 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 28.11.2022 http://www.fao.org/dad-is/,0
2022,E,"Obs_Value = 0;  Out of 25 transboundary breeds (including extinct ones), 0 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 28.11.2022 http://www.fao.org/dad-is/,Number of transboundary breeds for which sufficient genetic resources are stored for reconstitution [2.5.1],"Obs_Value = 0;  Out of 25 transboundary breeds (including extinct ones), 0 are reported with genetic material stored, out of which 0 are reported with sufficient material stored to allow them to be reconstituted",DAD-IS 28.11.2022 http://www.fao.org/dad-is/,0
1995,E,Estimate based on the acquisition date of each conserved accession as reported in 2014.,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),52024
2000,E,Estimate based on the acquisition date of each conserved accession as reported in 2014.,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),56078
2005,E,Estimate based on the acquisition date of each conserved accession as reported in 2014.,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),67207
2010,E,Estimate based on the acquisition date of each conserved accession as reported in 2014.,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),70695
2012,E,Estimate based on the acquisition date of each conserved accession as reported in 2014.,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),70975
2014,C,,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),71553
2016,C,,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),72510
2017,C,,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),72510
2018,E,Estimate based on 2017 report.,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),72510
2019,C,,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),73164
2020,E,Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),73164
2021,E,Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),Plant genetic resources accessions stored ex situ (number) [2.5.1],Estimate based on 2019 report.,FAO-WIEWS (http://www.fao.org/wiews),73164
