Year,Value
1977,5.76215
1978,6.72809
1979,5.33351
1980,6.33659
1981,9.08852
1982,11.64921
1983,17.68208
1984,19.66864
1985,23.63637
1986,29.02003
1987,36.01721
1988,43.7504
1989,39.71174
1990,37.64597
1991,29.02711
1992,22.71638
1993,17.92758
1994,15.21607
1995,18.33413
1996,41.49836
1997,9.86367
1998,12.08516
1999,16.17264
2000,13.6317
2001,18.38973
2002,7.90545
2003,7.16333
2004,5.50917
2005,4.29923
2006,5.80117
2007,4.62067
2008,2.91661
2009,2.78314
2010,3.77538
2011,5.85057
2012,7.1317
2013,10.67213
2014,11.81593
2015,18.1639
2016,20.62202
2017,22.01043
2018,21.16442
2019,28.09249
2020,25.76514
